0;I am looking for a new <ITEMWDESC>. My old one is falling apart.;I could really use some cash, would you be interested in buying a <ITEMH>?;Thank you. Now I can throw out the old one.
1;I could use a new <ITEMWDESC>. The one I have now just doesn't do the job.;I've been trying to get rid of this <ITEMH>. Maybe you want it?;Thank you. Now I can throw out the old one.
2;I always wanted a <ITEMWDESC>! I would pay anything to get my fingers on one.;I've got a spare <ITEMH> if you want it.;Thank you. Now I can throw out the old one.
0;I like <CHARACTER>s peformance. An Autograph would be nice.;I have an Autograph of <OCHAR>;Oh, Thank you
1;I love <CHARACTER>! An autograph would be great!;I have an Autograph of <OCHAR>;Great! Thank you very much!
2;I am the biggest fan of <CHARACTER>! The only thing missing in my collection would be an autograph.;I have an Autograph of <OCHAR>;Awesome! How did you get that? Thank you very, very much!
0;If you meet <CHARACTER>, could you remind <HIMHER> that <HESHE> owes me <MONEY> Cr.? If you can get it for me I'll let you keep 10%; 4-3;Oh, Thank you
1;<CHARACTER> owes me <MONEY> Cr. I offer you 20% if you can get it for me.; 4-2;Great! Thank you very much!
2;I am struggling to make ends meet, while <CHARACTER> still owes me <MONEY> Cr.! If you meet <HIMHER> please would you step on <HISHERS> toes? I am willing to give up 30% if anybody can get it.; 4-1;Finally! Thank you very much for your help
0;We always have work for good engineers.;I have some experience in that field. Do you know somebody who needs one?;Oh? Thank's. I'll contact <OHIMHER>.
1;Our engineering department is starting to run a backlog. We have the funds, now we just need the right person for the job.;I have, and I have some time for side projects at the moment.;That's good to know. Thanks for the information. I'll contact <OHIMHER>.
2;Let's be honest. This place is falling apart. I really need a good engineer. Now. Though yesterday would be better.;Yes, I have. And I am actually looking for work right now.;That's great News! Thanks for telling me. I'll contact <OHIMHER> right away!
0;I am doing research on <ITEMW>. Running a bit low at the moment;I really have way too much <ITEMH>. Do you need any?;Thank you!
1;I am doing research on <ITEMW>, but I have run out of it. You think you can get me some?;I've got some <ITEMH> to spare. Do you want it?;Thank you!
2;I am stuck in my research! I need <ITEMW> to continue!;I guess I could spare some of this <ITEMH>. If it is worth my while.;Thank you!
0;I have. I would be interested in a trinket to show people where I have been.;If you like it you can have it.;That looks interesting! Thank you!
1;I've heard of that. I'd be interested in buying.;I would be ready to let go of it for a price;That looks interesting! Thank you!
2;I have. If they are as interesting as people claim I'd be interested in buying. I am looking for something exotic, something to kick off a conversation, representative of this sector.;I really like it too. You'd have to offer a decent price if you want it.;That looks interesting! Thank you!
0;I am always looking for new tools. Nothing particular right now though.;I've got some tools to sell. Interested in buying?;Oh yeah, I could need those. Thank you very much!
1;If I had some better tools, I could work a lot better!;I am not using some of my tools. Maybe you would want to buy them?;Ah just what I needed! Thanks!
2;I can't do anything right now! I just don't have the tools!;My toolbox is getting to full. Got some great stuff to sell!;Finally! Thank you very much!
0;Lately the audience seemed a little bored. A new show concept would be nice.;I've had this Idea for a show for <OCHAR> ;That sounds like a neat idea. Thank you 
1;I wasn't able to fill halls like I used to. I need to work on a new show concept.;I've had a great idea for a show for <OCHAR> ;Oh, never thought of that. Thanks for sharing!
2;What's wrong with my show? Nobody is coming anymore! Soon I will have to work as a cook;I know how <OCHAR> can make a comeback. I've had some great ideas!;Yay! Can you say comeback? I say this says comeback! Thank you very much!
0;Stations sensors are really good. Having access to them would be helpful for my research.;I do. But I don't need it anymore. You can have it if you want.;Thank you! This will help a lot.
1;If I only could get access to the station sensors, I could prove my thesis!;I do. I could sell it to you.;Thank you! Can't wait to use them.
2;I really need access to the station sensors! I am on the verge of a scientific breaktrhough!;I do. I could sell it to you.;Thank you! Now I can finish my research.
0;I need to be at station <DEST> by <TIME>. Can you help me? I can pay you <PAY> credits.;I need to be at station <DEST> by <TIME>. Can you help me? I can pay you <PAY> credits.;Thank you very much for the trip.
1;I need to be at station <DEST> by <TIME>. Can you help me? I can pay you <PAY> credits.;I need to be at station <DEST> by <TIME>. Can you help me? I can pay you <PAY> credits.;Thank you very much for the trip.
2;I need to be at station <DEST> by <TIME>. Can you help me? I can pay you <PAY> credits.;I need to be at station <DEST> by <TIME>. Can you help me? I can pay you <PAY> credits.;Thank you very much for the trip.
0; 13-1;I have <TONS> tons of cargo for station <DEST> but i have other pressing business. Would you be interested in the job?;34
1; 13-2;I have <TONS> tons of cargo for station <DEST> but i have other pressing business. Would you be interested in the job?;35
